data_year,ori,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,county_name,agency_type_name,population_group_desc,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
2018,TX0571100,Garland,,TX,West South Central,South,ROCKWALL; COLLIN; DALLAS,City,"Cities from 100,000 thru 249,999",239577,318,42,360,26,85,111,344,127,471,1.97
2018,TX061035V,Department of Public Safety Drivers License Office Denton,,TX,West South Central,South,DENTON,Other State Agency,"Cities under 2,500",0,,,,,,,,,,
2018,TX0700400,Italy,,TX,West South Central,South,ELLIS,City,"Cities under 2,500",1943,,,,,,,,,,
2018,TX0711400,Horizon City,,TX,West South Central,South,EL PASO,City,"Cities from 10,000 thru 24,999",19978,,,,,,,,,,
2018,TX0720200,Stephenville,,TX,West South Central,South,ERATH,City,"Cities from 10,000 thru 24,999",21400,35,1,36,2,16,18,37,17,54,2.52
2018,TX1010500,El Lago,,TX,West South Central,South,HARRIS,City,"Cities from 2,500 thru 9,999",2743,,,,,,,,,,
2018,TX1240000,Jim Hogg,,TX,West South Central,South,JIM HOGG,County,"Non-MSA counties under 10,000",5175,,,,,,,,,,
2018,TX1330500,Ingram,,TX,West South Central,South,KERR,City,"Cities under 2,500",1863,4,0,4,2,1,3,6,1,7,3.76
2018,TX1500100,Llano,,TX,West South Central,South,LLANO,City,"Cities from 2,500 thru 9,999",3533,7,0,7,1,1,2,8,1,9,2.55
2018,TX1551100,Robinson,,TX,West South Central,South,MCLENNAN,City,"Cities from 10,000 thru 24,999",11774,18,4,22,4,5,9,22,9,31,2.63
2018,TX1610200,Palacios,,TX,West South Central,South,MATAGORDA,City,"Cities from 2,500 thru 9,999",4634,,,,,,,,,,
2018,TX1710000,Moore,,TX,West South Central,South,MOORE,County,"Non-MSA counties under 10,000",3990,,,,,,,,,,
2018,TX1780500,Port Aransas,,TX,West South Central,South,NUECES,City,"Cities from 2,500 thru 9,999",4245,18,2,20,2,8,10,20,10,30,7.07
2018,TX2051600,Independent School District:,Taft,TX,West South Central,South,SAN PATRICIO,Other,"Cities under 2,500",0,2,0,2,1,0,1,3,0,3,
2018,TX2101300,Timpson,,TX,West South Central,South,SHELBY,City,"Cities under 2,500",1141,,,,,,,,,,
2018,TX2180100,Sonora,,TX,West South Central,South,SUTTON,City,"Cities from 2,500 thru 9,999",2737,,,,,,,,,,
2018,TX220027Y,"Department of Housing and Urban Development, Fort Worth",,TX,West South Central,South,N/A,Federal,"Cities under 2,500",0,,,,,,,,,,
2018,TX0120000,Baylor,,TX,West South Central,South,BAYLOR,County,"Non-MSA counties under 10,000",948,,,,,,,,,,
2018,TX0150100,Alamo Heights,,TX,West South Central,South,BEXAR,City,"Cities from 2,500 thru 9,999",8629,16,3,19,5,10,15,21,13,34,3.94
2018,TX0340000,Cass,,TX,West South Central,South,CASS,County,"Non-MSA counties from 10,000 thru 24,999",18904,19,15,34,2,14,16,21,29,50,2.64
2018,TX0420200,Santa Anna,,TX,West South Central,South,COLEMAN,City,"Cities under 2,500",1037,,,,,,,,,,
2018,TX0430400,Frisco,,TX,West South Central,South,DENTON; COLLIN,City,"Cities from 100,000 thru 249,999",187889,168,50,218,18,49,67,186,99,285,1.52
2018,TX0431900,Parker,,TX,West South Central,South,COLLIN,City,"Cities from 2,500 thru 9,999",4746,10,0,10,0,1,1,10,1,11,2.32
2018,TX0460000,Comal,,TX,West South Central,South,COMAL,County,"MSA counties from 25,000 thru 99,999",66617,123,71,194,13,66,79,136,137,273,4.10
2018,TX0575200,Southern Methodist University,,TX,West South Central,South,DALLAS,University or College,"Cities under 2,500",0,25,6,31,4,3,7,29,9,38,
2018,TX0579000,Dallas County Community College District,,TX,West South Central,South,N/A,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0612000,Highland Village,,TX,West South Central,South,DENTON,City,"Cities from 10,000 thru 24,999",16805,26,2,28,4,8,12,30,10,40,2.38
2018,TX0650000,Donley,,TX,West South Central,South,DONLEY,County,"Non-MSA counties under 10,000",3245,5,0,5,1,4,5,6,4,10,3.08
2018,TX0670400,Ranger,,TX,West South Central,South,EASTLAND,City,"Cities under 2,500",2454,,,,,,,,,,
2018,TX0730300,Rosebud,,TX,West South Central,South,FALLS,City,"Cities under 2,500",1368,,,,,,,,,,
2018,TX0760100,Rotan,,TX,West South Central,South,FISHER,City,"Cities under 2,500",1451,,,,,,,,,,
2018,TX0843100,Independent School District:,Galveston,TX,West South Central,South,GALVESTON,Other,"Cities under 2,500",0,8,0,8,2,6,8,10,6,16,
2018,TX0850000,Garza,,TX,West South Central,South,GARZA,County,"Non-MSA counties under 10,000",6520,,,,,,,,,,
2018,TX0950400,Plainview,,TX,West South Central,South,HALE,City,"Cities from 10,000 thru 24,999",20569,,,,,,,,,,
2018,TX1011200,Jersey Village,,TX,West South Central,South,HARRIS,City,"Cities from 2,500 thru 9,999",7974,24,0,24,2,2,4,26,2,28,3.51
2018,TX1012300,Tomball,,TX,West South Central,South,HARRIS,City,"Cities from 10,000 thru 24,999",11855,,,,,,,,,,
2018,TX1070100,Athens,,TX,West South Central,South,HENDERSON,City,"Cities from 10,000 thru 24,999",12704,22,0,22,3,7,10,25,7,32,2.52
2018,TX1110100,Granbury,,TX,West South Central,South,HOOD,City,"Cities from 10,000 thru 24,999",10228,,,,,,,,,,
2018,TX1260100,Alvarado,,TX,West South Central,South,JOHNSON,City,"Cities from 2,500 thru 9,999",4179,16,0,16,3,2,5,19,2,21,5.03
2018,TX1840500,Willow Park,,TX,West South Central,South,PARKER,City,"Cities from 2,500 thru 9,999",5569,,,,,,,,,,
2018,TX1860100,Fort Stockton,,TX,West South Central,South,PECOS,City,"Cities from 2,500 thru 9,999",8365,18,2,20,5,10,15,23,12,35,4.18
2018,TX1870000,Polk,,TX,West South Central,South,POLK,County,"Non-MSA counties from 25,000 thru 99,999",40100,0,0,0,0,0,0,0,0,0,0.00
2018,TX1940300,Bogata,,TX,West South Central,South,RED RIVER,City,"Cities under 2,500",1066,,,,,,,,,,
2018,TX1980200,Calvert,,TX,West South Central,South,ROBERTSON,City,"Cities under 2,500",1149,4,0,4,0,0,0,4,0,4,3.48
2018,TX0030600,Angelina College,,TX,West South Central,South,ANGELINA,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0141500,Independent School District:,Killeen,TX,West South Central,South,BELL,Other,"Cities under 2,500",0,14,0,14,7,0,7,21,0,21,
2018,TX0311000,Santa Rosa,,TX,West South Central,South,CAMERON,City,"Cities from 2,500 thru 9,999",2797,,,,,,,,,,
2018,TX0340200,Hughes Springs,,TX,West South Central,South,MORRIS; CASS,City,"Cities under 2,500",1734,4,0,4,0,0,0,4,0,4,2.31
2018,TX0613900,Northlake,,TX,West South Central,South,DENTON,City,"Cities from 2,500 thru 9,999",2946,,,,,,,,,,
2018,TX0701000,Waxahachie,,TX,West South Central,South,ELLIS,City,"Cities from 25,000 thru 49,999",36225,,,,,,,,,,
2018,TX0790000,Fort Bend,,TX,West South Central,South,FORT BEND,County,"MSA counties 100,000 or over",493696,,,,,,,,,,
2018,TX0910200,Denison,,TX,West South Central,South,GRAYSON,City,"Cities from 10,000 thru 24,999",24623,,,,,,,,,,
2018,TX0980000,Hansford,,TX,West South Central,South,HANSFORD,County,"Non-MSA counties under 10,000",2144,,,,,,,,,,
